Timestamp,Open,High,Low,Close,Volume
2021-01-04T14:30:00Z,181.9700,182.4000,180.9600,182.3300,14331400
2021-01-05T14:30:00Z,182.8700,183.2100,181.8200,182.8700,12718800
2021-01-06T14:30:00Z,181.4900,181.5800,178.2400,179.9000,18453500
2021-01-07T14:30:00Z,179.6900,179.9200,178.8400,179.4800,7110200
2021-01-08T14:30:00Z,176.8300,176.9900,171.4800,173.3400,24399900
2021-01-11T14:30:00Z,172.1400,173.6800,172.0300,173.0000,8571400
2021-01-12T14:30:00Z,173.1300,174.1800,172.3200,174.1200,9798500
2021-01-13T14:30:00Z,173.6800,174.4600,173.0500,173.3700,14110300
2021-01-14T14:30:00Z,173.4400,174.2200,172.6600,173.2800,13522700
2021-01-15T14:30:00Z,172.8400,173.0700,170.9800,171.1300,16172500
2021-01-19T14:30:00Z,172.7100,172.8500,171.9200,172.5800,7485700
2021-01-20T14:30:00Z,174.3700,175.4700,173.8200,175.3900,9456000
2021-01-21T14:30:00Z,175.1100,175.5100,174.5100,175.2800,7246800
2021-01-22T14:30:00Z,172.8900,174.2900,172.3500,173.9000,7269600
2021-01-25T14:30:00Z,174.8200,174.9600,173.1900,174.0500,5936800
2021-01-26T14:30:00Z,173.9800,174.2600,173.4200,173.6200,4685600
2021-01-27T14:30:00Z,172.9300,173.5200,171.6600,172.5200,9036500
2021-01-28T14:30:00Z,174.2800,174.7300,172.0400,172.6800,9392400
2021-01-29T14:30:00Z,174.8700,175.1600,172.6100,172.6100,11252800
2021-02-01T14:30:00Z,175.0200,175.2600,174.0600,174.2300,9105500
2021-02-02T14:30:00Z,172.4900,172.5300,171.5100,172.1100,7221700
2021-02-03T14:30:00Z,172.3600,172.5900,171.5000,171.8500,4658100
2021-02-04T14:30:00Z,168.2900,168.4000,167.3400,168.1500,13736600
2021-02-05T14:30:00Z,168.9900,170.1800,168.6700,169.8100,6538500
2021-02-08T14:30:00Z,171.9800,172.4000,171.4900,171.5200,6887500
2021-02-09T14:30:00Z,172.5700,173.0300,171.7500,172.0800,5131800
2021-02-10T14:30:00Z,173.1500,173.2200,172.0100,172.7100,6112800
2021-02-11T14:30:00Z,172.7000,172.8700,170.7100,171.2100,5994500
2021-02-12T14:30:00Z,170.2900,171.6500,169.8800,170.6900,6018900
2021-02-16T14:30:00Z,168.1400,170.0700,167.7300,168.2400,14761100
2021-02-17T14:30:00Z,166.9200,167.3400,165.8500,166.3300,11400700
2021-02-18T14:30:00Z,166.9800,167.3000,165.7300,166.3200,7498200
2021-02-19T14:30:00Z,166.7600,167.9400,166.6000,167.0100,8273500
2021-02-22T14:30:00Z,168.5400,169.8900,168.3000,169.5100,10072000
