Timestamp,Open,High,Low,Close,Volume
2021-01-04T14:30:00Z,315.1100,315.2900,305.1800,309.3100,45305900
2021-01-05T14:30:00Z,308.2900,312.1400,308.2900,311.8600,29323400
2021-01-06T14:30:00Z,307.0000,311.8800,305.9800,307.5400,52809600
2021-01-07T14:30:00Z,310.2800,315.8400,310.2500,314.9800,30394800
2021-01-08T14:30:00Z,317.3400,319.3900,315.0800,319.0300,33955800
2021-01-11T14:30:00Z,315.9800,317.1900,313.7500,314.4200,32746400
2021-01-12T14:30:00Z,314.4600,315.5800,311.2000,313.9200,29266800
2021-01-13T14:30:00Z,314.1900,316.8600,313.5700,316.0400,22898400
2021-01-14T14:30:00Z,316.5000,317.5300,313.8600,314.3500,23500100
2021-01-15T14:30:00Z,314.1300,315.1200,310.5800,311.8600,35118700
2021-01-19T14:30:00Z,314.2500,316.9300,313.1200,316.4100,24537000
2021-01-20T14:30:00Z,320.1400,324.7400,316.5100,323.7700,30728100
2021-01-21T14:30:00Z,325.1500,327.1300,323.7300,326.3600,25130600
2021-01-22T14:30:00Z,325.2900,326.4600,324.7100,325.4200,21609400
2021-01-25T14:30:00Z,328.9100,330.3200,321.4100,328.1100,39080600
2021-01-26T14:30:00Z,328.8500,329.7600,327.2200,328.5900,25498100
2021-01-27T14:30:00Z,326.2600,326.2700,317.3600,319.4300,55264000
2021-01-28T14:30:00Z,320.6700,326.4200,320.0300,321.3200,42836300
2021-01-29T14:30:00Z,319.5800,320.7200,312.7600,314.5600,55259000
2021-02-01T14:30:00Z,318.1100,323.5400,316.0200,322.4200,35646000
2021-02-02T14:30:00Z,325.4800,328.8700,325.3100,327.6800,33930800
2021-02-03T14:30:00Z,329.8200,330.2000,326.3200,326.3800,24824500
2021-02-04T14:30:00Z,327.8200,330.3300,326.4600,330.2400,22350900
2021-02-05T14:30:00Z,331.2200,332.4000,329.5300,331.3600,22732000
2021-02-08T14:30:00Z,333.1000,333.7400,331.4100,333.5800,20462800
2021-02-09T14:30:00Z,332.6200,334.8100,332.6100,333.5100,17597500
2021-02-10T14:30:00Z,334.9900,335.4600,329.5000,332.7500,28068700
2021-02-11T14:30:00Z,334.3300,335.0000,332.1200,334.5800,22046100
2021-02-12T14:30:00Z,333.7100,336.6200,332.6300,336.4500,20346800
2021-02-16T14:30:00Z,337.2700,338.1900,334.3400,335.5400,27080800
2021-02-17T14:30:00Z,332.4700,335.6600,330.1700,333.9300,31360300
2021-02-18T14:30:00Z,330.2300,333.8700,328.3600,332.4700,32236200
2021-02-19T14:30:00Z,333.8600,333.9900,329.9700,331.0200,39157700
2021-02-22T14:30:00Z,326.5000,327.8000,322.2300,322.4400,47256900
2021-02-23T14:30:00Z,317.0000,323.2000,311.0000,321.4800,97241900
2021-02-24T14:30:00Z,318.7400,324.4500,315.9600,324.1300,58206300
2021-02-25T14:30:00Z,321.3900,324.0300,311.2400,312.8300,110182600
2021-02-26T14:30:00Z,315.8500,319.1100,310.8800,314.1400,104739800
2021-03-01T14:30:00Z,319.2700,323.9400,317.9400,323.5900,49164500
2021-03-02T14:30:00Z,324.2500,324.3300,318.1400,318.4000,48370000
2021-03-03T14:30:00Z,317.2700,318.2400,309.1000,309.1600,86301100
2021-03-04T14:30:00Z,308.7800,312.0400,300.1100,304.1000,139131600
2021-03-05T14:30:00Z,306.8000,309.6100,297.4500,308.6800,121523700
2021-03-08T14:30:00Z,308.1200,310.0600,299.5100,299.9400,88409800
2021-03-09T14:30:00Z,307.4700,313.7300,306.9200,311.7700,80391100
2021-03-10T14:30:00Z,316.1600,316.4700,310.1700,310.8800,76798100
2021-03-11T14:30:00Z,315.7700,319.8600,314.8500,318.0400,53484800
2021-03-12T14:30:00Z,313.8600,318.2300,311.3900,315.4600,69315600
2021-03-15T13:30:00Z,315.7900,319.0000,314.1000,318.8300,42955700
2021-03-16T13:30:00Z,321.0900,324.2000,319.1000,320.5800,54925900
2021-03-17T13:30:00Z,317.4500,323.8500,315.6800,321.9000,78258700
2021-03-18T13:30:00Z,316.8700,317.8800,311.5700,312.0400,82718100
2021-03-19T13:30:00Z,311.8700,314.7300,309.6600,313.1400,78446200
2021-03-22T13:30:00Z,315.2100,320.7400,315.2100,318.6100,56194800
2021-03-23T13:30:00Z,319.7300,321.0900,316.3800,317.2200,53455400
2021-03-24T13:30:00Z,318.6300,318.6700,311.7200,311.8700,64803700
2021-03-25T13:30:00Z,309.9700,312.8900,307.3900,311.3300,78729000
2021-03-26T13:30:00Z,311.1100,316.3300,309.6700,316.0000,63519600
2021-03-29T13:30:00Z,315.4500,316.9900,312.4700,315.9100,54608000
2021-03-30T13:30:00Z,313.8900,314.9100,311.5400,314.3200,44635700
2021-03-31T13:30:00Z,316.1600,320.7400,315.8100,319.1300,55032500
2021-04-01T13:30:00Z,323.0700,324.7100,322.8100,324.5700,55685600
2021-04-05T13:30:00Z,327.1300,331.8400,326.8800,331.0500,42172500
2021-04-06T13:30:00Z,330.7300,332.8300,330.0200,330.8200,33537200
2021-04-07T13:30:00Z,330.3300,332.4800,329.3700,331.6200,32046400
